City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
329,Briancon,22,FR,2021-06-11 05:42:36,83,44.9,6.65,59.31,2.3
330,Barcelona,0,ES,2021-06-11 05:39:39,58,41.3888,2.159,75.61,3.0
331,Dunedin,84,NZ,2021-06-11 05:41:20,79,-45.8742,170.5036,45.81,1.01
332,Qom,0,IR,2021-06-11 05:42:36,7,34.6401,50.8764,92.88,9.71
333,Prince Rupert,90,CA,2021-06-11 05:42:37,82,54.3161,-130.3201,53.29,0.0
334,Savannah Bight,100,HN,2021-06-11 05:42:37,78,16.45,-85.85,82.0,21.12
335,Otradnoye,99,RU,2021-06-11 05:42:37,53,59.7775,30.8181,66.56,2.04
336,Codrington,32,AU,2021-06-11 05:42:37,76,-38.2667,141.9667,57.04,4.94
337,Alofi,4,NU,2021-06-11 05:42:38,83,-19.0595,-169.9187,73.29,10.36
338,Vanavara,66,RU,2021-06-11 05:42:38,39,60.34,102.2797,52.38,7.96
339,Komsomolskiy,31,UZ,2021-06-11 05:42:38,20,40.4272,71.7189,88.52,4.61
340,Verkhnyaya Inta,98,RU,2021-06-11 05:42:39,37,65.9811,60.3094,69.73,19.3
341,Soyo,92,AO,2021-06-11 05:42:39,91,-6.1349,12.3689,74.53,3.94
342,Bacolod,99,PH,2021-06-11 05:42:39,68,10.6667,122.95,86.94,8.81
343,Oyama,64,JP,2021-06-11 05:42:40,27,36.3,139.8,87.58,8.48
344,Adre,39,TD,2021-06-11 05:42:40,34,13.4667,22.2,84.78,2.21
345,Fort Morgan,1,US,2021-06-11 05:42:40,60,40.2503,-103.8,72.82,9.22
346,Ahuimanu,75,US,2021-06-11 05:42:40,68,21.4447,-157.8378,80.31,19.57
347,Nhulunbuy,90,AU,2021-06-11 05:42:41,61,-12.2333,136.7667,81.21,13.8
348,Kibuye,60,RW,2021-06-11 05:42:16,64,-2.0597,29.3482,62.91,2.15
349,Bubaque,100,GW,2021-06-11 05:42:41,77,11.2833,-15.8333,78.4,2.04
350,Chapais,56,CA,2021-06-11 05:42:42,66,49.7834,-74.8492,49.78,2.57
351,Coxim,100,BR,2021-06-11 05:42:42,95,-18.5067,-54.76,67.82,4.59
352,Loandjili,90,CG,2021-06-11 05:42:42,94,-4.7561,11.8578,77.11,3.44
353,Nyurba,100,RU,2021-06-11 05:42:42,41,63.2842,118.3319,58.64,5.59
354,Changying,76,CN,2021-06-11 05:42:43,50,52.8733,123.3213,68.54,6.33
355,Tigil,100,RU,2021-06-11 05:42:43,95,57.8,158.6667,49.93,3.24
356,Touros,98,BR,2021-06-11 05:42:43,84,-5.1989,-35.4608,72.5,13.56
357,Torbay,90,CA,2021-06-11 05:42:44,96,47.6666,-52.7314,38.57,8.05
358,Kropotkin,3,RU,2021-06-11 05:42:44,73,45.4375,40.5756,69.17,3.15
359,Nouadhibou,59,MR,2021-06-11 05:40:49,86,20.931,-17.0347,67.42,10.38
360,Bolama,100,GW,2021-06-11 05:42:45,83,11.5833,-15.4667,78.06,5.48
361,Barcelos,23,PT,2021-06-11 05:41:30,82,41.5388,-8.6151,65.91,2.3
362,Sao Felix Do Xingu,6,BR,2021-06-11 05:42:45,79,-6.6447,-51.995,69.96,1.23
363,Tessalit,39,ML,2021-06-11 05:42:45,11,20.1986,1.0114,90.27,7.27
364,Mercedes,51,AR,2021-06-11 05:42:46,61,-34.6515,-59.4307,43.84,6.38
365,Srednekolymsk,99,RU,2021-06-11 05:42:46,57,67.45,153.6833,45.57,4.18
366,Anadyr,75,RU,2021-06-11 05:42:46,76,64.75,177.4833,46.9,8.95
367,Richards Bay,15,ZA,2021-06-11 05:42:46,83,-28.783,32.0377,62.98,4.7
368,Romitan,0,UZ,2021-06-11 05:42:47,24,39.9343,64.3814,91.35,11.5
369,Tokur,71,RU,2021-06-11 05:42:47,70,53.1333,132.9,63.95,2.73
